CSCI101	Introductory Computer Science	3.0
CSCI102	Problematic Programming	3.0
CSCI201	Difficulter Computer Science	3.0
CSCI202	Probably The Hardest CompSci Class	3.0
CSCI350	Modeling the Mind	3.0
CSCI375	Computational Linguistics	3.0
CSCI321	Networks and Security Systems	3.0
LING101	Introductory Linguistics	3.0
LING102	Exploring Grammatical Categories	3.0
LING201	Syntax	3.0
LING202	Semantics	3.0
LING341	Advanced Phonology	3.0
LING368	Constructing a Language	3.0
LING305	Sociolinguistics	3.0
MUSC101	Beginning Music Theory	3.0
MUSC102	Harmony and Tonality	3.0
MUSC201	Advanced Rhythm	3.0
MUSC202	Compositional Technique	3.0
MUSC372	Neo-Riemannian Theory	3.0
MUSC340	Musical Set Theory	3.0
MUSC303	The Socio-economic Ramifications of Barbershop	3.0
MUSC399	Musical Pranks	3.0
ZEN101	Beginner's Meditation	3.0
ZEN102	Developing Focus	3.0
ZEN201	Koan Study	3.0
ZEN202	Mu	3.0
ZEN397	Meeting the Buddha	3.0
ZEN351	Buddha-Nature	3.0
ZEN500	Enlightenment	3.0
